"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","id_code","bee_species","exposure_type","pesticide_applied","hours_after_exposure","bee_stage","ter","cer","rare_ctrl","risk_diff0","ntotal","log_ntotal","precision","abs_yi","source","repo","branch","repo_license"
"gh_CKita_Bees_Figure_Data_lethal_effects.csv","CKita","Figure/Data/lethal_effects.csv","CKita / Bees / Figure/Data/lethal_effects.csv",24,-5.70057472093186,2.07226269958511,"from_dataset","C0093","melipona_quadrifasciata","orally","insecticide",960,"larvae",0,0.666666666666667,FALSE,-0.666666666666667,150,5.01063529409626,0.694668482416315,5.70057472093186,"GitHub","Bees","main","GPL-3.0"
"gh_CKita_Bees_Figure_Data_lethal_effects.csv","CKita","Figure/Data/lethal_effects.csv","CKita / Bees / Figure/Data/lethal_effects.csv",25,0.462623521948113,0.189542483660131,"from_dataset","C0189","apis_cerana","orally","insecticide",144,"larvae",0.9,0.85,FALSE,0.05,200,5.29831736654804,2.29692448046633,0.462623521948113,"GitHub","Bees","main","GPL-3.0"
"gh_CKita_Bees_Figure_Data_lethal_effects.csv","CKita","Figure/Data/lethal_effects.csv","CKita / Bees / Figure/Data/lethal_effects.csv",26,0,4.0655737704918,"from_dataset","C0191","partamona_helleri","topically","insecticide",24,"adult",1,1,TRUE,0,60,4.0943445622221,0.495951350371671,0,"GitHub","Bees","main","GPL-3.0"
"gh_CKita_Bees_Figure_Data_lethal_effects.csv","CKita","Figure/Data/lethal_effects.csv","CKita / Bees / Figure/Data/lethal_effects.csv",27,-1.1319487089357,2.73335185699731,"from_dataset","C0191","partamona_helleri","topically","insecticide",24,"adult",0.966666666666667,1,TRUE,-0.0333333333333333,60,4.0943445622221,0.604856329371984,1.1319487089357,"GitHub","Bees","main","GPL-3.0"
"gh_CKita_Bees_Figure_Data_lethal_effects.csv","CKita","Figure/Data/lethal_effects.csv","CKita / Bees / Figure/Data/lethal_effects.csv",28,-8.22174772834662,4.0655737704918,"from_dataset","C0191","partamona_helleri","topically","insecticide",0.24,"adult",0,1,TRUE,-1,60,4.0943445622221,0.495951350371671,8.22174772834662,"GitHub","Bees","main","GPL-3.0"
"gh_CKita_Bees_Figure_Data_lethal_effects.csv","CKita","Figure/Data/lethal_effects.csv","CKita / Bees / Figure/Data/lethal_effects.csv",29,-8.22174772834662,4.0655737704918,"from_dataset","C0191","partamona_helleri","topically","insecticide",4,"adult",0,1,TRUE,-1,60,4.0943445622221,0.495951350371671,8.22174772834662,"GitHub","Bees","main","GPL-3.0"
"gh_CKita_Bees_Figure_Data_lethal_effects.csv","CKita","Figure/Data/lethal_effects.csv","CKita / Bees / Figure/Data/lethal_effects.csv",30,-2.04945082799615,2.35486480732382,"from_dataset","C0191","scaptotrigona_xanthotrica","topically","insecticide",24,"adult",0.9,1,TRUE,-0.1,60,4.0943445622221,0.651653917355837,2.04945082799615,"GitHub","Bees","main","GPL-3.0"
"gh_CKita_Bees_Figure_Data_lethal_effects.csv","CKita","Figure/Data/lethal_effects.csv","CKita / Bees / Figure/Data/lethal_effects.csv",31,-2.33780652795741,2.29274495652473,"from_dataset","C0191","scaptotrigona_xanthotrica","topically","insecticide",24,"adult",0.866666666666667,1,TRUE,-0.133333333333333,60,4.0943445622221,0.660422904114969,2.33780652795741,"GitHub","Bees","main","GPL-3.0"
"gh_CKita_Bees_Figure_Data_lethal_effects.csv","CKita","Figure/Data/lethal_effects.csv","CKita / Bees / Figure/Data/lethal_effects.csv",32,-8.22174772834662,4.0655737704918,"from_dataset","C0191","scaptotrigona_xanthotrica","topically","insecticide",0.27,"adult",0,1,TRUE,-1,60,4.0943445622221,0.495951350371671,8.22174772834662,"GitHub","Bees","main","GPL-3.0"
"gh_CKita_Bees_Figure_Data_lethal_effects.csv","CKita","Figure/Data/lethal_effects.csv","CKita / Bees / Figure/Data/lethal_effects.csv",33,-8.22174772834662,4.0655737704918,"from_dataset","C0191","scaptotrigona_xanthotrica","topically","insecticide",4,"adult",0,1,TRUE,-1,60,4.0943445622221,0.495951350371671,8.22174772834662,"GitHub","Bees","main","GPL-3.0"
"gh_CKita_Bees_Figure_Data_lethal_effects.csv","CKita","Figure/Data/lethal_effects.csv","CKita / Bees / Figure/Data/lethal_effects.csv",34,-2.57694350424736,2.25382075333859,"from_dataset","C0191","partamona_helleri","orally","insecticide",24,"adult",0.833333333333333,1,TRUE,-0.166666666666667,60,4.0943445622221,0.666101349012997,2.57694350424736,"GitHub","Bees","main","GPL-3.0"
"gh_CKita_Bees_Figure_Data_lethal_effects.csv","CKita","Figure/Data/lethal_effects.csv","CKita / Bees / Figure/Data/lethal_effects.csv",35,-8.22174772834662,4.0655737704918,"from_dataset","C0191","partamona_helleri","orally","insecticide",1,"adult",0,1,TRUE,-1,60,4.0943445622221,0.495951350371671,8.22174772834662,"GitHub","Bees","main","GPL-3.0"
"gh_CKita_Bees_Figure_Data_lethal_effects.csv","CKita","Figure/Data/lethal_effects.csv","CKita / Bees / Figure/Data/lethal_effects.csv",36,-8.22174772834662,4.0655737704918,"from_dataset","C0191","partamona_helleri","orally","insecticide",2,"adult",0,1,TRUE,-1,60,4.0943445622221,0.495951350371671,8.22174772834662,"GitHub","Bees","main","GPL-3.0"
"gh_CKita_Bees_Figure_Data_lethal_effects.csv","CKita","Figure/Data/lethal_effects.csv","CKita / Bees / Figure/Data/lethal_effects.csv",37,-2.04945082799615,2.35486480732382,"from_dataset","C0191","scaptotrigona_xanthotrica","orally","insecticide",24,"adult",0.9,1,TRUE,-0.1,60,4.0943445622221,0.651653917355837,2.04945082799615,"GitHub","Bees","main","GPL-3.0"
"gh_CKita_Bees_Figure_Data_lethal_effects.csv","CKita","Figure/Data/lethal_effects.csv","CKita / Bees / Figure/Data/lethal_effects.csv",38,0,4.0655737704918,"from_dataset","C0191","scaptotrigona_xanthotrica","orally","insecticide",24,"adult",1,1,TRUE,0,60,4.0943445622221,0.495951350371671,0,"GitHub","Bees","main","GPL-3.0"
"gh_CKita_Bees_Figure_Data_lethal_effects.csv","CKita","Figure/Data/lethal_effects.csv","CKita / Bees / Figure/Data/lethal_effects.csv",39,-8.22174772834662,4.0655737704918,"from_dataset","C0191","scaptotrigona_xanthotrica","orally","insecticide",0.25,"adult",0,1,TRUE,-1,60,4.0943445622221,0.495951350371671,8.22174772834662,"GitHub","Bees","main","GPL-3.0"
"gh_CKita_Bees_Figure_Data_lethal_effects.csv","CKita","Figure/Data/lethal_effects.csv","CKita / Bees / Figure/Data/lethal_effects.csv",40,-8.22174772834662,4.0655737704918,"from_dataset","C0191","scaptotrigona_xanthotrica","orally","insecticide",2,"adult",0,1,TRUE,-1,60,4.0943445622221,0.495951350371671,8.22174772834662,"GitHub","Bees","main","GPL-3.0"
