ID,X,Y,Area,City,Country,Continent,GridEPSG,dCenter,TransportSource,RushHour,TransportYear,DistanceDriving,DurationDriving,DistanceTransit,DurationTransit
4,529002,6196101,1005663,Montevideo,Uruguay,South_America,32721,73716.6972815407,Google,17h00,2020,NA,NA,NA,NA
5,530002,6196101,1005662,Montevideo,Uruguay,South_America,32721,73122.7835527226,Google,17h00,2020,NA,NA,NA,NA
6,531002,6196101,1005660,Montevideo,Uruguay,South_America,32721,72537.7935348072,Google,17h00,2020,NA,NA,NA,NA
7,532002,6196101,1005659,Montevideo,Uruguay,South_America,32721,71961.9448548906,Google,17h00,2020,NA,NA,NA,NA
8,533002,6196101,1005657,Montevideo,Uruguay,South_America,32721,71395.4587050067,Google,17h00,2020,NA,NA,NA,NA
9,534002,6196101,1005656,Montevideo,Uruguay,South_America,32721,70838.5596980791,Google,17h00,2020,NA,NA,NA,NA
10,535002,6196101,1005654,Montevideo,Uruguay,South_America,32721,70291.4757029493,Google,17h00,2020,93174.8153936622,6259.4298095507,NA,NA
11,536002,6196101,1005652,Montevideo,Uruguay,South_America,32721,69754.4376573872,Google,17h00,2020,91960.9808915301,6178.73746322801,NA,NA
12,537002,6196101,1005650,Montevideo,Uruguay,South_America,32721,69227.6793580307,Google,17h00,2020,90816.7847859202,6130.32027341779,NA,NA
13,538002,6196101,1005649,Montevideo,Uruguay,South_America,32721,68711.4372262603,Google,17h00,2020,89907.3987905614,6190.7300158397,NA,NA
14,539002,6196101,1005647,Montevideo,Uruguay,South_America,32721,68205.9500490853,Google,17h00,2020,88998.0127952026,6251.13975826161,NA,NA
15,540002,6196101,1005645,Montevideo,Uruguay,South_America,32721,67711.4586942145,Google,17h00,2020,88597.4424611949,6278.54850284253,NA,NA
16,541002,6196101,1005643,Montevideo,Uruguay,South_America,32721,67228.2057985955,Google,17h00,2020,88198.3366563485,6305.86226032426,NA,NA
17,542002,6196101,1005641,Montevideo,Uruguay,South_America,32721,66756.4354298394,Google,17h00,2020,88123.1577099473,6294.61510744403,NA,NA
18,543002,6196101,1005639,Montevideo,Uruguay,South_America,32721,66296.3927201044,Google,17h00,2020,88200.3127628072,6265.23380626012,NA,NA
19,544002,6196101,1005636,Montevideo,Uruguay,South_America,32721,65848.3234721911,Google,17h00,2020,88277.4678156672,6235.85250507621,NA,NA
20,545002,6196101,1005634,Montevideo,Uruguay,South_America,32721,65412.4737377996,Google,17h00,2020,88354.6228685271,6206.47120389229,NA,NA
21,546002,6196101,1005632,Montevideo,Uruguay,South_America,32721,64989.0893681264,Google,17h00,2020,88431.7779213871,6177.08990270838,NA,NA
22,547002,6196101,1005630,Montevideo,Uruguay,South_America,32721,64578.4155372236,Google,17h00,2020,88337.1261246636,6156.88718469287,NA,NA
23,548002,6196101,1005627,Montevideo,Uruguay,South_America,32721,64180.6962388094,Google,17h00,2020,87859.3791943853,6157.15088319841,NA,NA
24,549002,6196101,1005625,Montevideo,Uruguay,South_America,32721,63796.1737575093,Google,17h00,2020,87381.632264107,6157.41458170396,NA,NA
25,550002,6196101,1005623,Montevideo,Uruguay,South_America,32721,63425.0881158104,Google,17h00,2020,86891.7708739995,6157.42311335565,NA,NA
26,551002,6196101,1005620,Montevideo,Uruguay,South_America,32721,63067.6764983325,Google,17h00,2020,86390.9911844573,6157.20167287854,NA,NA
27,552002,6196101,1005618,Montevideo,Uruguay,South_America,32721,62724.1726553513,Google,17h00,2020,85890.2114949152,6156.98023240143,NA,NA
28,553002,6196101,1005615,Montevideo,Uruguay,South_America,32721,62394.8062878499,Google,17h00,2020,85389.431805373,6156.75879192432,NA,NA
29,554002,6196101,1005612,Montevideo,Uruguay,South_America,32721,62079.8024167145,Google,17h00,2020,85063.0167179879,6166.28256412132,NA,NA
30,555002,6196101,1005610,Montevideo,Uruguay,South_America,32721,61779.3807390323,Google,17h00,2020,83533.6915614609,6108.80083608869,NA,NA
31,556002,6196101,1005607,Montevideo,Uruguay,South_America,32721,61493.7549747803,Google,17h00,2020,81111.9359685038,6001.59773431132,NA,NA
32,557002,6196101,1005604,Montevideo,Uruguay,South_America,32721,61223.1322075106,Google,17h00,2020,78690.1803755467,5894.39463253395,NA,NA
33,558002,6196101,1005601,Montevideo,Uruguay,South_America,32721,60967.7122229325,Google,17h00,2020,77279.8658468244,5823.20563719241,NA,NA
34,559002,6196101,1005598,Montevideo,Uruguay,South_America,32721,60727.6868495608,Google,17h00,2020,76259.1301324212,5765.88826856265,NA,NA
35,560002,6196101,1005598,Montevideo,Uruguay,South_America,32721,60503.2393058282,Google,17h00,2020,75238.3944180181,5708.57089993289,NA,NA
