"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","x","pop","model","metric","estimate","precision","abs_yi","source","repo","branch","repo_license"
"gh_DylanMG_DL-CC-sockeye_output_CV_pop_loos_run3.csv","DylanMG","output/CV/pop_loos_run3.csv","DylanMG / DL-CC-sockeye / output/CV/pop_loos_run3.csv",25,-2.24828254752884,0.18811356853844,"estimate","elpd_loo.21","asitika","m2b","elpd_loo",-2.24828254752884,2.30563172301845,2.24828254752884,"GitHub","DL-CC-sockeye","main",NA
"gh_DylanMG_DL-CC-sockeye_output_CV_pop_loos_run3.csv","DylanMG","output/CV/pop_loos_run3.csv","DylanMG / DL-CC-sockeye / output/CV/pop_loos_run3.csv",26,0.504300084703193,0.0867969425898004,"estimate","p_loo.21","asitika","m2b","p_loo",0.504300084703193,3.39428094646787,0.504300084703193,"GitHub","DL-CC-sockeye","main",NA
"gh_DylanMG_DL-CC-sockeye_output_CV_pop_loos_run3.csv","DylanMG","output/CV/pop_loos_run3.csv","DylanMG / DL-CC-sockeye / output/CV/pop_loos_run3.csv",27,4.49656509505769,0.75245427415376,"estimate","looic.21","asitika","m2b","looic",4.49656509505769,1.15281586150923,4.49656509505769,"GitHub","DL-CC-sockeye","main",NA
"gh_DylanMG_DL-CC-sockeye_output_CV_pop_loos_run3.csv","DylanMG","output/CV/pop_loos_run3.csv","DylanMG / DL-CC-sockeye / output/CV/pop_loos_run3.csv",28,-142.808769111771,16.5368951445235,"estimate","elpd_loo.31","asitika","m3","elpd_loo",-142.808769111771,0.245908201581801,142.808769111771,"GitHub","DL-CC-sockeye","main",NA
"gh_DylanMG_DL-CC-sockeye_output_CV_pop_loos_run3.csv","DylanMG","output/CV/pop_loos_run3.csv","DylanMG / DL-CC-sockeye / output/CV/pop_loos_run3.csv",29,139.821549409863,14.2954273828621,"estimate","p_loo.31","asitika","m3","p_loo",139.821549409863,0.264485232408292,139.821549409863,"GitHub","DL-CC-sockeye","main",NA
"gh_DylanMG_DL-CC-sockeye_output_CV_pop_loos_run3.csv","DylanMG","output/CV/pop_loos_run3.csv","DylanMG / DL-CC-sockeye / output/CV/pop_loos_run3.csv",30,285.617538223542,66.147580578094,"estimate","looic.31","asitika","m3","looic",285.617538223542,0.1229541007909,285.617538223542,"GitHub","DL-CC-sockeye","main",NA
"gh_DylanMG_DL-CC-sockeye_output_CV_pop_loos_run3.csv","DylanMG","output/CV/pop_loos_run3.csv","DylanMG / DL-CC-sockeye / output/CV/pop_loos_run3.csv",31,-2.32443660748818,0.111707969558628,"estimate","elpd_loo.41","asitika","m4a","elpd_loo",-2.32443660748818,2.99197472869304,2.32443660748818,"GitHub","DL-CC-sockeye","main",NA
"gh_DylanMG_DL-CC-sockeye_output_CV_pop_loos_run3.csv","DylanMG","output/CV/pop_loos_run3.csv","DylanMG / DL-CC-sockeye / output/CV/pop_loos_run3.csv",32,0.605451371490762,0.0844080935082567,"estimate","p_loo.41","asitika","m4a","p_loo",0.605451371490762,3.44197692448175,0.605451371490762,"GitHub","DL-CC-sockeye","main",NA
"gh_DylanMG_DL-CC-sockeye_output_CV_pop_loos_run3.csv","DylanMG","output/CV/pop_loos_run3.csv","DylanMG / DL-CC-sockeye / output/CV/pop_loos_run3.csv",33,4.64887321497637,0.44683187823451,"estimate","looic.41","asitika","m4a","looic",4.64887321497637,1.49598736434652,4.64887321497637,"GitHub","DL-CC-sockeye","main",NA
"gh_DylanMG_DL-CC-sockeye_output_CV_pop_loos_run3.csv","DylanMG","output/CV/pop_loos_run3.csv","DylanMG / DL-CC-sockeye / output/CV/pop_loos_run3.csv",34,-3.41489241026802,0.776484090188818,"estimate","elpd_loo.51","asitika","m4b","elpd_loo",-3.41489241026802,1.1348376066641,3.41489241026802,"GitHub","DL-CC-sockeye","main",NA
"gh_DylanMG_DL-CC-sockeye_output_CV_pop_loos_run3.csv","DylanMG","output/CV/pop_loos_run3.csv","DylanMG / DL-CC-sockeye / output/CV/pop_loos_run3.csv",35,1.66222255646008,0.722243187717528,"estimate","p_loo.51","asitika","m4b","p_loo",1.66222255646008,1.17667973194839,1.66222255646008,"GitHub","DL-CC-sockeye","main",NA
"gh_DylanMG_DL-CC-sockeye_output_CV_pop_loos_run3.csv","DylanMG","output/CV/pop_loos_run3.csv","DylanMG / DL-CC-sockeye / output/CV/pop_loos_run3.csv",36,6.82978482053603,3.10593636075529,"estimate","looic.51","asitika","m4b","looic",6.82978482053603,0.567418803332048,6.82978482053603,"GitHub","DL-CC-sockeye","main",NA
"gh_DylanMG_DL-CC-sockeye_output_CV_pop_loos_run3.csv","DylanMG","output/CV/pop_loos_run3.csv","DylanMG / DL-CC-sockeye / output/CV/pop_loos_run3.csv",37,-30.6905269284576,24.0392518772908,"estimate","elpd_loo2","atnarko","m1","elpd_loo",-30.6905269284576,0.203957427705398,30.6905269284576,"GitHub","DL-CC-sockeye","main",NA
"gh_DylanMG_DL-CC-sockeye_output_CV_pop_loos_run3.csv","DylanMG","output/CV/pop_loos_run3.csv","DylanMG / DL-CC-sockeye / output/CV/pop_loos_run3.csv",38,3.6215540000727,3.17154837617724,"estimate","p_loo2","atnarko","m1","p_loo",3.6215540000727,0.561518837019844,3.6215540000727,"GitHub","DL-CC-sockeye","main",NA
"gh_DylanMG_DL-CC-sockeye_output_CV_pop_loos_run3.csv","DylanMG","output/CV/pop_loos_run3.csv","DylanMG / DL-CC-sockeye / output/CV/pop_loos_run3.csv",39,61.3810538569152,96.1570075091633,"estimate","looic2","atnarko","m1","looic",61.3810538569152,0.101978713852699,61.3810538569152,"GitHub","DL-CC-sockeye","main",NA
