species_latin,family,country,province,site_name,habitat,soil_type,plant_part,unit,trait,trait_value,references
Combretocarpus rotundatus,Anisophylleaceae,Indonesia,Central Kalimatan,Kalampangan,peat swamp forest primary,peat,leaf,g.kg-1,nitrogen,10.2,Tuah.et.al.2003
Combretocarpus rotundatus,Anisophylleaceae,Indonesia,Central Kalimatan,Kalampangan,peat swamp forest fire damanged shallow,peat,leaf,g.kg-1,calcium,5.1,Tuah.et.al.2003
Combretocarpus rotundatus,Anisophylleaceae,Indonesia,Central Kalimatan,Kalampangan,peat swamp forest primary,peat,leaf,g.kg-1,magnesium,2.5,Tuah.et.al.2003
Combretocarpus rotundatus,Anisophylleaceae,Indonesia,Central Kalimatan,Kalampangan,peat swamp forest fire damanged shallow,peat,leaf,g.kg-1,magnesium,1.1,Tuah.et.al.2003
Combretocarpus rotundatus,Anisophylleaceae,Indonesia,Central Kalimatan,Kalampangan,peat swamp forest fire damanged shallow,peat,leaf,g.kg-1,nitrogen,15.2,Tuah.et.al.2003
Combretocarpus rotundatus,Anisophylleaceae,Indonesia,Central Kalimatan,Kalampangan,peat swamp forest fire damanged shallow,peat,leaf,g.kg-1,phosphorus,0.2,Tuah.et.al.2003
Combretocarpus rotundatus,Anisophylleaceae,Indonesia,Central Kalimantan,Setia Alam,peat swamp forest intact undrained,peat,leaf,mg.g-1,nitrogen,14.86,Ichie.et.al.2019
Combretocarpus rotundatus,Anisophylleaceae,Indonesia,Central Kalimatan,Kalampangan,peat swamp forest fire damanged shallow,peat,leaf,g.kg-1,calcium,3.6,Tuah.et.al.2003
Combretocarpus rotundatus,Anisophylleaceae,Indonesia,Central Kalimatan,Kalampangan,peat swamp forest fire damanged shallow,peat,leaf,g.kg-1,phosphorus,0.4,Tuah.et.al.2003
Combretocarpus rotundatus,Anisophylleaceae,Indonesia,Central Kalimatan,Setia Alam,peat swamp forest primary riverine,peat,leaf,g.kg-1,nitrogen,10.6,Tuah.et.al.2003
Combretocarpus rotundatus,Anisophylleaceae,Indonesia,Central Kalimatan,Kalampangan,peat swamp forest fire damanged shallow,peat,leaf,g.kg-1,phosphorus,0.4,Tuah.et.al.2003
Combretocarpus rotundatus,Anisophylleaceae,Indonesia,Central Kalimatan,Kalampangan,peat swamp forest primary,peat,leaf,g.kg-1,calcium,4,Tuah.et.al.2003
Combretocarpus rotundatus,Anisophylleaceae,Indonesia,Central Kalimatan,Kalampangan,peat swamp forest primary,peat,leaf,g.kg-1,phosphorus,0.5,Tuah.et.al.2003
Combretocarpus rotundatus,Anisophylleaceae,Indonesia,Central Kalimatan,Setia Alam,peat swamp forest primary riverine,peat,leaf,g.kg-1,calcium,4.6,Tuah.et.al.2003
Combretocarpus rotundatus,Anisophylleaceae,Indonesia,Central Kalimatan,Kalampangan,peat swamp forest fire damanged shallow,peat,leaf,g.kg-1,calcium,5.4,Tuah.et.al.2003
Combretocarpus rotundatus,Anisophylleaceae,Indonesia,Central Kalimatan,Kalampangan,peat swamp forest fire damanged shallow,peat,leaf,g.kg-1,potassium,7.1,Tuah.et.al.2003
Combretocarpus rotundatus,Anisophylleaceae,Indonesia,Central Kalimatan,Mawas Conservation Area,peat swamp forest,peat,leaf,g.kg-1,nitrogen,10.7,Wedeux.2015
Combretocarpus rotundatus,Anisophylleaceae,Indonesia,Central Kalimatan,Kalampangan,peat swamp forest fire damanged shallow,peat,leaf,g.kg-1,calcium,2.3,Tuah.et.al.2003
Combretocarpus rotundatus,Anisophylleaceae,Indonesia,Central Kalimatan,Kalampangan,peat swamp forest primary,peat,leaf,g.kg-1,magnesium,1.9,Tuah.et.al.2003
Combretocarpus rotundatus,Anisophylleaceae,Indonesia,Central Kalimatan,Kalampangan,peat swamp forest fire damanged shallow,peat,leaf,g.kg-1,nitrogen,15.9,Tuah.et.al.2003
Combretocarpus rotundatus,Anisophylleaceae,Indonesia,Central Kalimatan,Kalampangan,peat swamp forest fire damanged shallow,peat,leaf,g.kg-1,nitrogen,20,Tuah.et.al.2003
Combretocarpus rotundatus,Anisophylleaceae,Indonesia,Central Kalimatan,Setia Alam,peat swamp forest primary riverine,peat,leaf,g.kg-1,magnesium,1.6,Tuah.et.al.2003
Combretocarpus rotundatus,Anisophylleaceae,Indonesia,Central Kalimantan,Kalampangan,peat swamp forest abandoned drained,peat,leaf,mg.g-1,nitrogen,14.69,Ichie.et.al.2019
Combretocarpus rotundatus,Anisophylleaceae,Indonesia,Central Kalimatan,Kalampangan,peat swamp forest fire damanged shallow,peat,leaf,g.kg-1,nitrogen,13.2,Tuah.et.al.2003
Combretocarpus rotundatus,Anisophylleaceae,Indonesia,Central Kalimatan,Kalampangan,peat swamp forest fire damanged shallow,peat,leaf,g.kg-1,nitrogen,15.3,Tuah.et.al.2003
Combretocarpus rotundatus,Anisophylleaceae,Indonesia,Central Kalimatan,Kalampangan,peat swamp forest fire damanged shallow,peat,leaf,g.kg-1,magnesium,0.9,Tuah.et.al.2003
Combretocarpus rotundatus,Anisophylleaceae,Indonesia,Central Kalimatan,Kalampangan,peat swamp forest fire damanged shallow,peat,leaf,g.kg-1,magnesium,0.7,Tuah.et.al.2003
Combretocarpus rotundatus,Anisophylleaceae,Indonesia,Central Kalimatan,Mawas Conservation Area,peat swamp forest,peat,leaf,g.kg-1,magnesium,1.7,Wedeux.2015
Combretocarpus rotundatus,Anisophylleaceae,Indonesia,Central Kalimatan,Setia Alam,peat swamp forest primary riverine,peat,leaf,g.kg-1,potassium,6.8,Tuah.et.al.2003
Combretocarpus rotundatus,Anisophylleaceae,Indonesia,Central Kalimatan,Setia Alam,peat swamp forest primary riverine,peat,leaf,g.kg-1,potassium,7.1,Tuah.et.al.2003
Combretocarpus rotundatus,Anisophylleaceae,Indonesia,Central Kalimatan,Kalampangan,peat swamp forest fire damanged shallow,peat,leaf,g.kg-1,phosphorus,0.4,Tuah.et.al.2003
Combretocarpus rotundatus,Anisophylleaceae,Indonesia,Central Kalimatan,Mawas Conservation Area,peat swamp forest,peat,leaf,g.kg-1,calcium,5.2,Wedeux.2015
Combretocarpus rotundatus,Anisophylleaceae,Indonesia,Central Kalimatan,Kalampangan,peat swamp forest fire damanged shallow,peat,leaf,g.kg-1,calcium,2.9,Tuah.et.al.2003
Combretocarpus rotundatus,Anisophylleaceae,Indonesia,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.57,Saito.et.al.2016
Combretocarpus rotundatus,Anisophylleaceae,Indonesia,East Kalimantan,Muara Siran,peat swamp forest,peat,wood,g.cm-3,wood density,0.65,Amitra.et.al.2019
Combretocarpus rotundatus,Anisophylleaceae,NA,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.7021,ICRAF
Combretocarpus rotundatus,Anisophylleaceae,Indonesia,Central Kalimatan,Kalampangan,peat swamp forest primary,peat,leaf,g.kg-1,phosphorus,0.3,Tuah.et.al.2003
Combretocarpus rotundatus,Anisophylleaceae,Indonesia,Central Kalimatan,Kalampangan,peat swamp forest primary,peat,leaf,g.kg-1,nitrogen,10.7,Tuah.et.al.2003
Combretocarpus rotundatus,Anisophylleaceae,Indonesia,Central Kalimatan,Setia Alam,peat swamp forest primary riverine,peat,leaf,g.kg-1,phosphorus,0.8,Tuah.et.al.2003
Combretocarpus rotundatus,Anisophylleaceae,Indonesia,Central Kalimatan,Kalampangan,peat swamp forest fire damanged shallow,peat,leaf,g.kg-1,potassium,4.7,Tuah.et.al.2003
Combretocarpus rotundatus,Anisophylleaceae,Indonesia,Central Kalimatan,Kalampangan,peat swamp forest primary,peat,leaf,g.kg-1,calcium,3.5,Tuah.et.al.2003
Combretocarpus rotundatus,Anisophylleaceae,Indonesia,Central Kalimatan,Kalampangan,peat swamp forest fire damanged shallow,peat,leaf,g.kg-1,potassium,9.2,Tuah.et.al.2003
Combretocarpus rotundatus,Anisophylleaceae,Indonesia,Central Kalimatan,Mawas Conservation Area,peat swamp forest,peat,leaf,g.kg-1,potassium,2.2,Wedeux.2015
Combretocarpus rotundatus,Anisophylleaceae,Indonesia,Central Kalimatan,Kalampangan,peat swamp forest fire damanged shallow,peat,leaf,g.kg-1,calcium,2.8,Tuah.et.al.2003
Combretocarpus rotundatus,Anisophylleaceae,Indonesia,Central Kalimatan,Kalampangan,peat swamp forest fire damanged shallow,peat,leaf,g.kg-1,potassium,11.3,Tuah.et.al.2003
Combretocarpus rotundatus,Anisophylleaceae,Indonesia,Central Kalimatan,Setia Alam,peat swamp forest primary riverine,peat,leaf,g.kg-1,phosphorus,1.2,Tuah.et.al.2003
Combretocarpus rotundatus,Anisophylleaceae,Indonesia,Central Kalimatan,Kalampangan,peat swamp forest fire damanged shallow,peat,leaf,g.kg-1,magnesium,2.2,Tuah.et.al.2003
Combretocarpus rotundatus,Anisophylleaceae,Indonesia,Central Kalimatan,Setia Alam,peat swamp forest dense-pole,peat,leaf,g.kg-1,potassium,3.9,Tuah.et.al.2003
Cotylelobium lanceolatum,Dipterocarpaceae,NA,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.985,PROSEA
Cotylelobium lanceolatum,Dipterocarpaceae,NA,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.911,ICRAF
Cotylelobium lanceolatum,Dipterocarpaceae,South-East Asia (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.78,DRYAD
Cratoxylum arborescens,Hypericaceae,Indonesia,Central Kalimatan,Setia Alam,peat swamp forest primary riverine,peat,leaf,g.kg-1,magnesium,1.2,Tuah.et.al.2003
Cratoxylum arborescens,Hypericaceae,Thailand,Narathiwat,To Daeng,peat swamp forest secondary,peat,leaf,g.kg-1,magnesium,0.3,Yanbuaban.et.al.2007
Cratoxylum arborescens,Hypericaceae,Thailand,Narathiwat,To Daeng,peat swamp forest primary,peat,leaf,g.kg-1,potassium,2.8,Yanbuaban.et.al.2007
Cratoxylum arborescens,Hypericaceae,Indonesia,Central Kalimatan,Lahei,kerapah heath forest,peat,leaf,g.kg-1,potassium,2.9,Tuah.et.al.2003
Cratoxylum arborescens,Hypericaceae,Indonesia,Central Kalimatan,Setia Alam,peat swamp forest primary riverine,peat,leaf,g.kg-1,phosphorus,0.4,Tuah.et.al.2003
Cratoxylum arborescens,Hypericaceae,Indonesia,Central Kalimatan,Lahei,kerapah heath forest,peat,leaf,g.kg-1,nitrogen,9.3,Tuah.et.al.2003
Cratoxylum arborescens,Hypericaceae,Indonesia,Central Kalimatan,Setia Alam,peat swamp forest primary riverine,peat,leaf,g.kg-1,nitrogen,10.9,Tuah.et.al.2003
Cratoxylum arborescens,Hypericaceae,Indonesia,Central Kalimatan,Lahei,kerapah heath forest,peat,leaf,g.kg-1,calcium,6.3,Tuah.et.al.2003
Cratoxylum arborescens,Hypericaceae,Indonesia,Central Kalimatan,Lahei,kerapah heath forest,peat,leaf,g.kg-1,phosphorus,0.5,Tuah.et.al.2003
Cratoxylum arborescens,Hypericaceae,Thailand,Narathiwat,To Daeng,peat swamp forest primary,peat,leaf,g.kg-1,phosphorus,0.1,Yanbuaban.et.al.2007
Cratoxylum arborescens,Hypericaceae,Thailand,Narathiwat,To Daeng,peat swamp forest primary,peat,leaf,g.kg-1,magnesium,0.4,Yanbuaban.et.al.2007
Cratoxylum arborescens,Hypericaceae,Indonesia,Central Kalimatan,Setia Alam,peat swamp forest dense-pole,peat,leaf,g.kg-1,magnesium,1.1,Tuah.et.al.2003
Cratoxylum arborescens,Hypericaceae,Indonesia,Central Kalimatan,Lahei,kerapah heath forest,peat,leaf,g.kg-1,nitrogen,8,Tuah.et.al.2003
Cratoxylum arborescens,Hypericaceae,Indonesia,Central Kalimatan,Lahei,kerapah heath forest,peat,leaf,g.kg-1,calcium,3.6,Tuah.et.al.2003
Cratoxylum arborescens,Hypericaceae,Thailand,Narathiwat,To Daeng,peat swamp forest secondary,peat,leaf,g.kg-1,phosphorus,0.2,Yanbuaban.et.al.2007
Cratoxylum arborescens,Hypericaceae,Indonesia,Central Kalimatan,Setia Alam,peat swamp forest dense-pole,peat,leaf,g.kg-1,potassium,2.7,Tuah.et.al.2003
Cratoxylum arborescens,Hypericaceae,Indonesia,Central Kalimatan,Lahei,kerapah heath forest,peat,leaf,g.kg-1,magnesium,1,Tuah.et.al.2003
Cratoxylum arborescens,Hypericaceae,NA,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.48,PROSEA
Cratoxylum arborescens,Hypericaceae,Indonesia,Central Kalimatan,Lahei,kerapah heath forest,peat,leaf,g.kg-1,potassium,3.6,Tuah.et.al.2003
Cratoxylum arborescens,Hypericaceae,Indonesia,Central Kalimatan,Setia Alam,peat swamp forest dense-pole,peat,leaf,g.kg-1,phosphorus,0.3,Tuah.et.al.2003
Cratoxylum arborescens,Hypericaceae,Indonesia,Central Kalimatan,Lahei,kerapah heath forest,peat,leaf,g.kg-1,phosphorus,0.5,Tuah.et.al.2003
Cratoxylum arborescens,Hypericaceae,Indonesia,Central Kalimatan,Setia Alam,peat swamp forest primary riverine,peat,leaf,g.kg-1,potassium,5.1,Tuah.et.al.2003
Cratoxylum arborescens,Hypericaceae,South-East Asia (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.49,DRYAD
Cratoxylum arborescens,Hypericaceae,Thailand,Narathiwat,To Daeng,peat swamp forest primary,peat,leaf,g.kg-1,calcium,3.3,Yanbuaban.et.al.2007
Cratoxylum arborescens,Hypericaceae,Thailand,Narathiwat,To Daeng,peat swamp forest secondary,peat,leaf,g.kg-1,potassium,2.3,Yanbuaban.et.al.2007
Cratoxylum arborescens,Hypericaceae,Indonesia,Central Kalimatan,Lahei,kerapah heath forest,peat,leaf,g.kg-1,magnesium,1.3,Tuah.et.al.2003
Cratoxylum arborescens,Hypericaceae,Indonesia,Central Kalimatan,Setia Alam,peat swamp forest dense-pole,peat,leaf,g.kg-1,calcium,5.4,Tuah.et.al.2003
Cratoxylum arborescens,Hypericaceae,Thailand,Narathiwat,To Daeng,peat swamp forest primary,peat,leaf,g.kg-1,nitrogen,11.6,Yanbuaban.et.al.2007
Cratoxylum arborescens,Hypericaceae,NA,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.47,ICRAF
Cratoxylum arborescens,Hypericaceae,Indonesia,Central Kalimatan,Setia Alam,peat swamp forest primary riverine,peat,leaf,g.kg-1,calcium,4.8,Tuah.et.al.2003
Cratoxylum arborescens,Hypericaceae,Indonesia,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.49,Saito.et.al.2016
Cratoxylum arborescens,Hypericaceae,South-East Asia (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.43,DRYAD
Cratoxylum arborescens,Hypericaceae,Thailand,Narathiwat,To Daeng,peat swamp forest secondary,peat,leaf,g.kg-1,nitrogen,12.2,Yanbuaban.et.al.2007
Cratoxylum arborescens,Hypericaceae,Indonesia,West Kalimantan,Serimbu Sunujuh,dipterocarp forest lowland,mineral,wood,g.cm-3,wood density,0.34,Suzuki.1999
Cratoxylum arborescens,Hypericaceae,Indonesia,Central Kalimatan,Setia Alam,peat swamp forest dense-pole,peat,leaf,g.kg-1,nitrogen,9.7,Tuah.et.al.2003
Cratoxylum arborescens,Hypericaceae,Malaysia,Sarawak,Semenggoh Nature Reserve,dipterocarp forest lowland,mineral,wood,g.cm-3,wood density,0.454,Mori.et.al.2014
Cratoxylum arborescens,Hypericaceae,South-East Asia (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.38,DRYAD
Cratoxylum arborescens,Hypericaceae,Thailand,Narathiwat,To Daeng,peat swamp forest secondary,peat,leaf,g.kg-1,calcium,3.4,Yanbuaban.et.al.2007
Cratoxylum glaucum,Hypericaceae,South-East Asia (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.48,DRYAD
Cratoxylum glaucum,Hypericaceae,NA,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.54,ICRAF
Cratoxylum glaucum,Hypericaceae,Indonesia,Central Kalimantan,Kalampangan,peat swamp forest abandoned drained,peat,leaf,mg.g-1,nitrogen,11.72,Ichie.et.al.2019
Cratoxylum glaucum,Hypericaceae,Indonesia,Central Kalimantan,Setia Alam,peat swamp forest intact undrained,peat,leaf,mg.g-1,nitrogen,12.25,Ichie.et.al.2019
Dacrydium beccarii,Podocarpaceae,NA,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.59,PROSEA
Dacrydium beccarii,Podocarpaceae,South-East Asia (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.61,DRYAD
Dacrydium beccarii,Podocarpaceae,NA,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.57,ICRAF
Dacryodes incurvata,Burseraceae,NA,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.68,ICRAF
Dacryodes incurvata,Burseraceae,South-East Asia (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.59,DRYAD
Dacryodes incurvata,Burseraceae,Brunei Darussalam,NA,Andulau,dipterocarp forest lowland,mineral,leaf,mg.g-1,nitrogen,12,Turner.et.al.2000
Dacryodes rostrata,Burseraceae,South-East Asia (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.56,DRYAD
Dacryodes rostrata,Burseraceae,South-East Asia (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.51,DRYAD
Dacryodes rostrata,Burseraceae,South-East Asia (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.53,DRYAD
Dacryodes rostrata,Burseraceae,South-East Asia (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.58,DRYAD
Dacryodes rostrata,Burseraceae,South-East Asia (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.51,DRYAD
Dacryodes rostrata,Burseraceae,Malaysia,Borneo,Danum valley,dipterocarp forest lowland,mineral,leaf,mg.g-1,phosphorus,0.84,Both.et.al.2019
Dacryodes rostrata,Burseraceae,South-East Asia (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.56,DRYAD
Dacryodes rostrata,Burseraceae,South-East Asia (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.58,DRYAD
Dacryodes rostrata,Burseraceae,South-East Asia (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.51,DRYAD
Dacryodes rostrata,Burseraceae,Malaysia,Borneo,Danum valley,dipterocarp forest lowland,mineral,leaf,mg.g-1,potassium,8.65,Both.et.al.2019
Dacryodes rostrata,Burseraceae,South-East Asia (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.57,DRYAD
Dacryodes rostrata,Burseraceae,South-East Asia (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.53,DRYAD
Dacryodes rostrata,Burseraceae,Malaysia,Borneo,Danum valley,dipterocarp forest lowland,mineral,leaf,mg.g-1,nitrogen,13.51,Both.et.al.2019
Dacryodes rostrata,Burseraceae,South-East Asia (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.57,DRYAD
Dacryodes rostrata,Burseraceae,South-East Asia (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.57,DRYAD
Dacryodes rostrata,Burseraceae,Malaysia,Borneo,Danum valley,dipterocarp forest lowland,mineral,leaf,mg.g-1,magnesium,1.2,Both.et.al.2019
Dacryodes rostrata,Burseraceae,Malaysia,Borneo,Danum valley,dipterocarp forest lowland,mineral,leaf,mg.g-1,calcium,2,Both.et.al.2019
Dacryodes rostrata,Burseraceae,Indonesia,West Kalimantan,Serimbu Sunujuh,dipterocarp forest lowland,mineral,wood,g.cm-3,wood density,0.46,Suzuki.1999
Dacryodes rostrata,Burseraceae,South-East Asia (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.58,DRYAD
Dacryodes rostrata,Burseraceae,South-East Asia (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.57,DRYAD
Dacryodes rostrata,Burseraceae,South-East Asia (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.53,DRYAD
Dacryodes rostrata,Burseraceae,South-East Asia (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.53,DRYAD
Dacryodes rostrata,Burseraceae,NA,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.5692,ICRAF
Dacryodes rostrata,Burseraceae,South-East Asia (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.56,DRYAD
Dacryodes rostrata,Burseraceae,South-East Asia (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.56,DRYAD
Dacryodes rostrata,Burseraceae,South-East Asia (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.58,DRYAD
Dacryodes rostrata,Burseraceae,South-East Asia (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.51,DRYAD
Dialium indum,Fabaceae,Thailand,Narathiwat,To Daeng,peat swamp forest primary,peat,leaf,g.kg-1,calcium,6.8,Yanbuaban.et.al.2007
Dialium indum,Fabaceae,Malaysia,Borneo,Danum valley,dipterocarp forest lowland,mineral,leaf,mg.g-1,phosphorus,0.93,Both.et.al.2019
Dialium indum,Fabaceae,South-East Asia (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.8,DRYAD
Dialium indum,Fabaceae,Thailand,Narathiwat,To Daeng,peat swamp forest secondary,peat,leaf,g.kg-1,nitrogen,10.5,Yanbuaban.et.al.2007
Dialium indum,Fabaceae,Malaysia,Borneo,Danum valley,dipterocarp forest lowland,mineral,leaf,mg.g-1,nitrogen,34.37,Both.et.al.2019
Dialium indum,Fabaceae,Thailand,Narathiwat,To Daeng,peat swamp forest primary,peat,leaf,g.kg-1,magnesium,1.8,Yanbuaban.et.al.2007
Dialium indum,Fabaceae,Malaysia,Sarawak,Lambir,dipterocarp forest lowland,mineral,wood,g.cm-3,wood density,0.71,King.et.al.2005
Dialium indum,Fabaceae,Malaysia,Borneo,Danum valley,dipterocarp forest lowland,mineral,leaf,mg.g-1,potassium,8.77,Both.et.al.2019
Dialium indum,Fabaceae,Malaysia,Borneo,Danum valley,dipterocarp forest lowland,mineral,leaf,mg.g-1,calcium,4.37,Both.et.al.2019
Dialium indum,Fabaceae,Indonesia,Central Kalimatan,Lahei,kerapah heath forest,peat,leaf,g.kg-1,magnesium,1.7,Tuah.et.al.2003
Dialium indum,Fabaceae,NA,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.9275,PROSEA
Dialium indum,Fabaceae,Malaysia,Borneo,Danum valley,dipterocarp forest lowland,mineral,leaf,mg.g-1,potassium,7.26,Both.et.al.2019
Dialium indum,Fabaceae,Malaysia,Borneo,Danum valley,dipterocarp forest lowland,mineral,leaf,mg.g-1,nitrogen,19.16,Both.et.al.2019
Dialium indum,Fabaceae,Indonesia,Central Kalimatan,Lahei,kerapah heath forest,peat,leaf,g.kg-1,potassium,4.5,Tuah.et.al.2003
Dialium indum,Fabaceae,NA,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.9417,ICRAF
Dialium indum,Fabaceae,Thailand,Narathiwat,To Daeng,peat swamp forest primary,peat,leaf,g.kg-1,phosphorus,0.3,Yanbuaban.et.al.2007
Dialium indum,Fabaceae,Malaysia,Borneo,Danum valley,dipterocarp forest lowland,mineral,leaf,mg.g-1,potassium,9.18,Both.et.al.2019
Dialium indum,Fabaceae,Indonesia,Central Kalimatan,Lahei,kerapah heath forest,peat,leaf,g.kg-1,calcium,3.1,Tuah.et.al.2003
Dialium indum,Fabaceae,Thailand,Narathiwat,To Daeng,peat swamp forest primary,peat,leaf,g.kg-1,nitrogen,10.9,Yanbuaban.et.al.2007
Dialium indum,Fabaceae,Thailand,Narathiwat,To Daeng,peat swamp forest secondary,peat,leaf,g.kg-1,calcium,1.3,Yanbuaban.et.al.2007
Dialium indum,Fabaceae,Malaysia,Borneo,Danum valley,dipterocarp forest lowland,mineral,leaf,mg.g-1,magnesium,1.55,Both.et.al.2019
Dialium indum,Fabaceae,Malaysia,Borneo,Danum valley,dipterocarp forest lowland,mineral,leaf,mg.g-1,magnesium,2.24,Both.et.al.2019
Dialium indum,Fabaceae,Indonesia,Central Kalimatan,Lahei,kerapah heath forest,peat,leaf,g.kg-1,potassium,7.1,Tuah.et.al.2003
Dialium indum,Fabaceae,Malaysia,Borneo,Danum valley,dipterocarp forest lowland,mineral,leaf,mg.g-1,phosphorus,0.89,Both.et.al.2019
Dialium indum,Fabaceae,Malaysia,Borneo,Danum valley,dipterocarp forest lowland,mineral,leaf,mg.g-1,calcium,2.84,Both.et.al.2019
Dialium indum,Fabaceae,Malaysia,Borneo,Danum valley,dipterocarp forest lowland,mineral,leaf,mg.g-1,magnesium,1.57,Both.et.al.2019
Dialium indum,Fabaceae,Brunei Darussalam,NA,Badas,kerangas heath forest,mineral,leaf,mg.g-1,nitrogen,14,Turner.et.al.2000
Dialium indum,Fabaceae,Malaysia,Borneo,Danum valley,dipterocarp forest lowland,mineral,leaf,mg.g-1,calcium,13.59,Both.et.al.2019
Dialium indum,Fabaceae,Indonesia,Central Kalimatan,Lahei,kerapah heath forest,peat,leaf,g.kg-1,calcium,9.3,Tuah.et.al.2003
Dialium indum,Fabaceae,Thailand,Narathiwat,To Daeng,peat swamp forest secondary,peat,leaf,g.kg-1,phosphorus,0.2,Yanbuaban.et.al.2007
Dialium indum,Fabaceae,Indonesia,Central Kalimatan,Lahei,kerapah heath forest,peat,leaf,g.kg-1,magnesium,1.1,Tuah.et.al.2003
Dialium indum,Fabaceae,Indonesia,Central Kalimatan,Lahei,kerapah heath forest,peat,leaf,g.kg-1,phosphorus,0.9,Tuah.et.al.2003
Dialium indum,Fabaceae,Malaysia,Borneo,Danum valley,dipterocarp forest lowland,mineral,leaf,mg.g-1,nitrogen,21.63,Both.et.al.2019
Dialium indum,Fabaceae,Thailand,Narathiwat,To Daeng,peat swamp forest primary,peat,leaf,g.kg-1,potassium,7.9,Yanbuaban.et.al.2007
Dialium indum,Fabaceae,Indonesia,Central Kalimantan,Tanjung Puting National Park,peat swamp forest riverine,peat,wood,g.cm-3,wood density,0.9,Murdiyarso.et.al.2009
Dialium indum,Fabaceae,Indonesia,Central Kalimatan,Lahei,kerapah heath forest,peat,leaf,g.kg-1,nitrogen,14.5,Tuah.et.al.2003
Dialium indum,Fabaceae,NA,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.896,ICRAF
Dialium indum,Fabaceae,Indonesia,Central Kalimatan,Lahei,kerapah heath forest,peat,leaf,g.kg-1,phosphorus,0.6,Tuah.et.al.2003
Dialium indum,Fabaceae,Thailand,Narathiwat,To Daeng,peat swamp forest secondary,peat,leaf,g.kg-1,magnesium,0.3,Yanbuaban.et.al.2007
Dialium indum,Fabaceae,Malaysia,Sarawak,Semenggoh Nature Reserve,dipterocarp forest lowland,mineral,wood,g.cm-3,wood density,0.816,Mori.et.al.2014
Dialium indum,Fabaceae,Thailand,Narathiwat,To Daeng,peat swamp forest secondary,peat,leaf,g.kg-1,potassium,1.7,Yanbuaban.et.al.2007
Dialium indum,Fabaceae,South-East Asia (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.97,DRYAD
Dialium indum,Fabaceae,South-East Asia (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.85,DRYAD
Dialium indum,Fabaceae,Indonesia,Central Kalimatan,Lahei,kerapah heath forest,peat,leaf,g.kg-1,nitrogen,11.7,Tuah.et.al.2003
Dialium indum,Fabaceae,South-East Asia (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.81,DRYAD
Dialium indum,Fabaceae,Malaysia,Borneo,Danum valley,dipterocarp forest lowland,mineral,leaf,mg.g-1,phosphorus,0.79,Both.et.al.2019
Dillenia excelsa,Dilleniaceae,Indonesia,East Kalimantan,Muara Siran,peat swamp forest,peat,wood,g.cm-3,wood density,0.88,Amitra.et.al.2019
