Study_ID;Short_citation;Year;Growth_Habit;Species_Status;Mechanism;Disturbance_type;Ln_Overall;Ln_Overall_Var;Ln_Abundance;Ln_Abundance_Var;Ln_Biomass;Ln_Biomass_Var;Ln_Reproduction;Ln_Reproduction_Var;Ln_Richness;Ln_Richness_Var;Ln_Survival;Ln_Survival_Var;Ln_Damage;Ln_Damage_Var;Ln_HerbLoad;Ln_HerbLoad_Var;ETP;Latitude_Abs;Precipitation;Temperature
29;Avanesyan & Culley;2015;Grass;Exotic;Enemy Release;NA;-1.72;0.01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1.72;0.01;NA;NA;1237;39;1045;11.6
35;Blaney & Kotanen;2001;Mixed;Exotic;Enemy Release;NA;-0.07;0.03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.07;0.03;NA;NA;899;44;1166;10.2
41;Carpenter & Capuccino;2001;Forb;Exotic;Enemy Release;NA;0.53;0.03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.53;0.03;NA;NA;942;45;866;5.9
43;Cincotta et al.;2009;Tree;Exotic;Enemy Release;NA;1.21;0.44;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.21;0.44;NA;NA;1200;40;1173;10.9
43;Cincotta et al.;2009;Tree;Exotic;Enemy Release;NA;0.86;0.07;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.86;0.07;NA;NA;1227;39;1119;12.2
43;Cincotta et al.;2009;Tree;Exotic;Enemy Release;NA;0.77;0.19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.77;0.19;NA;NA;1289;40;1119;12.2
43;Cincotta et al.;2009;Tree;Exotic;Enemy Release;NA;1.39;0.67;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.39;0.67;NA;NA;1214;40;1264;10.2
43;Cincotta et al.;2009;Tree;Exotic;Enemy Release;NA;0.31;0.52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.31;0.52;NA;NA;1156;40;1270;10.4
43;Cincotta et al.;2009;Tree;Exotic;Enemy Release;NA;1.15;0.08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.15;0.08;NA;NA;1289;41;1252;9.7
49;Dawson et al. ;2014;Forb;Invasive;Enemy Release;NA;1.07;0.28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.07;0.28;NA;NA;911;46;912;8.8
58;Engelkes et al. ;2012;Forb;Exotic;Enemy Release;NA;0.23;0.01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.23;0.01;796;51;762;9.6
59;Engelkes et al. ;2016;Forb;Exotic;Enemy Release;NA;0.04;0.07;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.04;0.07;NA;NA;801;51;777;9.4
62;Ferreras & Galetto;2010;Tree;Invasive;Enemy Release;NA;-0.86;0.42;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.86;0.42;NA;NA;1751;31;825;16
67;Han et al. ;2008;Forb;Invasive;Enemy Release;NA;0.6;0.01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6;0.01;NA;NA;1481;39;805;11.4
