Species,PaperID,Experimental treatment,Type of manipulation,Sex,Control,...7,Treatment,...9,OR,log(OR),SE log(OR),95% CI log(OR),Source
NA,NA,NA,NA,NA,Dead,Alive,Dead,Alive,NA,NA,NA,NA,NA
Sialia sialis,Paper044,Enlarged,Brood size,Male,19,17,18,19,1.18,0.165,0.469,-0.753 to 1.083,NA
Sialia sialis,Paper044,Reduced,Brood size,Male,19,17,28,15,0.599,-0.513,0.462,-1.419 to 0.393,NA
Somateria mollissima,Paper016,Enlarged,Clutch size,Female,13,11,15,15,1.182,0.167,0.549,-0.908 to 1.242,"Hanssen, S.A., Hasselquist, D., Folstad, I. & Erikstad, K.E. 2005. Cost of reproduction in a long-lived bird: incubation effort reduces immune function and future reproduction. Proc. R. Soc. Lond. B Biol. Sci. 272: 1039_1046."
Somateria mollissima,Paper017,Enlarged,Clutch size,Female,21,21,18,6,0.333,-1.099,0.563,-2.202 to 0.005,"Hanssen, S.A., Einar Erikstad, K., Johnsen, V. & Jan, O.B. 2003. Differential investment and costs during avian incubation determined by individual quality: an experimental study of the common eider (Somateria mollissima). Proc. R. Soc. Lond. B Biol. Sci. 270: 531_537."
Somateria mollissima,Paper017,Reduced,Clutch size,Female,21,21,11,10,0.909,-0.095,0.535,-1.143 to 0.953,NA
Somateria mollissima,Paper017,Enlarged,Clutch size,Female,19,20,14,11,0.746,-0.292,0.515,-1.301 to 0.716,NA
Somateria mollissima,Paper017,Reduced,Clutch size,Female,19,20,17,11,0.615,-0.487,0.502,-1.471 to 0.498,NA
Tachycineta bicolor,Paper045,Enlarged,Brood size,Female,8,11,7,14,1.455,0.375,0.656,-0.910 to 1.660,"de Steven, D. 1980. Clutch size, breeding success, and parental survival in the tree swallow (Iridoprocne bicolor). Evolution 34: 278_291."
Tachycineta bicolor,Paper045,Reduced,Brood size,Female,8,11,5,18,2.618,0.962,0.687,-0.383 to 2.308,NA
Tachycineta bicolor,Paper049,Enlarged,Brood size,Female,31,23,7,7,1.348,0.298,0.601,-0.879 to 1.476,"Wheelwright, N., Leary, J. & Fitzgerald, C. 1991. The costs of reproduction in tree swallows (Tachycineta bicolor). Can. J. Zool. 69: 2540_2547."
Tachycineta bicolor,Paper049,Reduced,Brood size,Female,31,23,9,6,0.899,-0.107,0.595,-1.272 to 1.058,NA
Tachycineta bicolor,Paper049,Enlarged,Brood size,Female,53,38,3,5,2.325,0.844,0.761,-0.647 to 2.334,NA
Tachycineta bicolor,Paper049,Reduced,Brood size,Female,53,38,5,3,0.837,-0.178,0.761,-1.668 to 1.312,NA
Tachycineta bicolor,Paper051,Enlarged,Brood size,Female,8,5,3,5,2.667,0.981,0.926,-0.835 to 2.796,"Wiggins, D.A. 1990. Clutch size, offspring quality, and female survival in tree swallows: an experiment. Condor 92: 534_537."
Tachycineta bicolor,Paper051,Reduced,Brood size,Female,8,5,5,3,0.96,-0.041,0.926,-1.856 to 1.775,NA
Tachycineta bicolor,Paper049,Enlarged,Brood size,Male,13,7,1,3,5.571,1.718,1.246,-0.724 to 4.160,"Wheelwright, N., Leary, J. & Fitzgerald, C. 1991. The costs of reproduction in tree swallows (Tachycineta bicolor). Can. J. Zool. 69: 2540_2547."
Tachycineta bicolor,Paper049,Reduced,Brood size,Male,13,7,2,1,0.929,-0.074,1.311,-2.644 to 2.496,NA
Tachycineta bicolor,Paper049,Enlarged,Brood size,Male,38,25,3,1,0.507,-0.68,1.183,-2.998 to 1.638,NA
Tachycineta bicolor,Paper049,Reduced,Brood size,Male,38,25,6,0,0.127,-2.066,1.494,-4.995 to 0.862,NA
Tyrannus tyrannus,Paper029,Reduced,Brood size,Female,4,6,2,0,0.167,-1.792,1.708,-5.139 to 1.555,"Maigret, J. & Murphy, M. 1997. Costs and benefits of parental care in eastern kingbirds. Behav. Ecol. 8: 250_259."
Tyrannus tyrannus,Paper029,Reduced,Brood size,Female,4,6,5,7,0.933,-0.069,0.872,-1.777 to 1.639,NA
Tyrannus tyrannus,Paper029,Enlarged,Brood size,Female,4,6,3,5,1.111,0.105,0.975,-1.805 to 2.015,NA
Tyrannus tyrannus,Paper029,Enlarged,Brood size,Female,4,6,3,0,0.111,-2.197,1.658,-5.447 to 1.053,NA
Tyrannus tyrannus,Paper029,Reduced,Brood size,Male,6,10,0,2,2.4,0.875,1.663,-2.384 to 4.135,NA
Tyrannus tyrannus,Paper029,Reduced,Brood size,Male,6,10,6,6,0.6,-0.511,0.775,-2.029 to 1.007,NA
Tyrannus tyrannus,Paper029,Enlarged,Brood size,Male,6,10,0,6,7.2,1.974,1.56,-1.083 to 5.031,NA
Tyrannus tyrannus,Paper029,Enlarged,Brood size,Male,6,10,1,2,1.2,0.182,1.329,-2.422 to 2.787,NA
