"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","contrast","estimate","tratio","pvalue","precision","abs_yi","source","repo","branch","repo_license"
"gh_PATH-AI-Initiative_RwandaBenchmarking_output_art_anova_posthoc_interactions_evaluationLanguage_responder.csv","PATH-AI-Initiative","output/art_anova/posthoc/interactions/evaluationLanguage_responder.csv","PATH-AI-Initiative / RwandaBenchmarking / output/art_anova/posthoc/interactions/evaluationLanguage_responder.csv",22,-4608.63469680838,85970.1188679557,"estimate","(deepseek-r1,kinyarwanda) - (o3-mini-high,english)",-4608.63469680838,-15.7180447735992,0,0.00341056425767146,4608.63469680838,"GitHub","RwandaBenchmarking","main",NA
"gh_PATH-AI-Initiative_RwandaBenchmarking_output_art_anova_posthoc_interactions_evaluationLanguage_responder.csv","PATH-AI-Initiative","output/art_anova/posthoc/interactions/evaluationLanguage_responder.csv","PATH-AI-Initiative / RwandaBenchmarking / output/art_anova/posthoc/interactions/evaluationLanguage_responder.csv",23,454.63809523799,136260.9393915,"estimate","(deepseek-r1,kinyarwanda) - (o3-mini-high,kinyarwanda)",454.63809523799,1.23162964632318,0.994493051394043,0.00270903309516652,454.63809523799,"GitHub","RwandaBenchmarking","main",NA
"gh_PATH-AI-Initiative_RwandaBenchmarking_output_art_anova_posthoc_interactions_evaluationLanguage_responder.csv","PATH-AI-Initiative","output/art_anova/posthoc/interactions/evaluationLanguage_responder.csv","PATH-AI-Initiative / RwandaBenchmarking / output/art_anova/posthoc/interactions/evaluationLanguage_responder.csv",24,3857.1781915052,118156.339052765,"estimate","(deepseek-r1,kinyarwanda) - seniorNurse,english",3857.1781915052,11.2212487396437,3.10862446895044e-14,0.00290918598584753,3857.1781915052,"GitHub","RwandaBenchmarking","main",NA
"gh_PATH-AI-Initiative_RwandaBenchmarking_output_art_anova_posthoc_interactions_evaluationLanguage_responder.csv","PATH-AI-Initiative","output/art_anova/posthoc/interactions/evaluationLanguage_responder.csv","PATH-AI-Initiative / RwandaBenchmarking / output/art_anova/posthoc/interactions/evaluationLanguage_responder.csv",25,2833.14458874465,272521.878782991,"estimate","(deepseek-r1,kinyarwanda) - seniorNurse,kinyarwanda",2833.14458874465,5.42710284960236,5.13778683308708e-06,0.00191557567205106,2833.14458874465,"GitHub","RwandaBenchmarking","main",NA
"gh_PATH-AI-Initiative_RwandaBenchmarking_output_art_anova_posthoc_interactions_evaluationLanguage_responder.csv","PATH-AI-Initiative","output/art_anova/posthoc/interactions/evaluationLanguage_responder.csv","PATH-AI-Initiative / RwandaBenchmarking / output/art_anova/posthoc/interactions/evaluationLanguage_responder.csv",26,4207.20376763775,85970.1188679493,"estimate","(gemini-2-flash,english) - (gemini-2-flash,kinyarwanda)",4207.20376763775,14.3489387946466,0,0.00341056425767159,4207.20376763775,"GitHub","RwandaBenchmarking","main",NA
"gh_PATH-AI-Initiative_RwandaBenchmarking_output_art_anova_posthoc_interactions_evaluationLanguage_responder.csv","PATH-AI-Initiative","output/art_anova/posthoc/interactions/evaluationLanguage_responder.csv","PATH-AI-Initiative / RwandaBenchmarking / output/art_anova/posthoc/interactions/evaluationLanguage_responder.csv",27,-246.381999545853,35679.2983444058,"estimate","(gemini-2-flash,english) - (gpt-4o,english)",-246.381999545853,-1.30437006388603,0.990546906585719,0.00529409642867714,246.381999545853,"GitHub","RwandaBenchmarking","main",NA
"gh_PATH-AI-Initiative_RwandaBenchmarking_output_art_anova_posthoc_interactions_evaluationLanguage_responder.csv","PATH-AI-Initiative","output/art_anova/posthoc/interactions/evaluationLanguage_responder.csv","PATH-AI-Initiative / RwandaBenchmarking / output/art_anova/posthoc/interactions/evaluationLanguage_responder.csv",28,3929.43883257273,85970.1188679516,"estimate","(gemini-2-flash,english) - (gpt-4o,kinyarwanda)",3929.43883257273,13.4016036350791,0,0.00341056425767155,3929.43883257273,"GitHub","RwandaBenchmarking","main",NA
"gh_PATH-AI-Initiative_RwandaBenchmarking_output_art_anova_posthoc_interactions_evaluationLanguage_responder.csv","PATH-AI-Initiative","output/art_anova/posthoc/interactions/evaluationLanguage_responder.csv","PATH-AI-Initiative / RwandaBenchmarking / output/art_anova/posthoc/interactions/evaluationLanguage_responder.csv",29,9243.65498076526,45567.1659088439,"estimate","(gemini-2-flash,english) - juniorGp,english",9243.65498076526,43.302973381433,0,0.00468461593076985,9243.65498076526,"GitHub","RwandaBenchmarking","main",NA
"gh_PATH-AI-Initiative_RwandaBenchmarking_output_art_anova_posthoc_interactions_evaluationLanguage_responder.csv","PATH-AI-Initiative","output/art_anova/posthoc/interactions/evaluationLanguage_responder.csv","PATH-AI-Initiative / RwandaBenchmarking / output/art_anova/posthoc/interactions/evaluationLanguage_responder.csv",30,10008.5639407976,120035.353715816,"estimate","(gemini-2-flash,english) - juniorGp,kinyarwanda",10008.5639407976,28.8879803344549,0,0.00288632620077489,10008.5639407976,"GitHub","RwandaBenchmarking","main",NA
"gh_PATH-AI-Initiative_RwandaBenchmarking_output_art_anova_posthoc_interactions_evaluationLanguage_responder.csv","PATH-AI-Initiative","output/art_anova/posthoc/interactions/evaluationLanguage_responder.csv","PATH-AI-Initiative / RwandaBenchmarking / output/art_anova/posthoc/interactions/evaluationLanguage_responder.csv",31,7670.09396962158,35679.2983444062,"estimate","(gemini-2-flash,english) - (meditron-70b,english)",7670.09396962158,40.6062170921914,0,0.00529409642867712,7670.09396962158,"GitHub","RwandaBenchmarking","main",NA
