Source,Neighbor species,Focal species,Visitation,Reproductive Success,d (vis),var (d vis),d (rep),var (d rep),Min. Distance ('control' to nearest neighbour),Treatment Arrangement,Interaction type,Study approach,Phylo,Symmetry,Colour,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32
Ghazoul 2006,Cirsium arvense (L.) Scop.,Raphanus raphanistrum L.,yes,yes,0.252,0.043,0.103,0.009,2,natural,native,experimental,238.331153,S,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ghazoul 2006,Hypericum perforatum L.,Raphanus raphanistrum,yes,yes,0.399,0.043,0.205,0.009,2,natural,native,experimental,235.069486,S,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ghazoul 2006,Solidago canadensis L.,Raphanus raphanistrum,yes,yes,0.47,0.044,0.148,0.009,2,natural,alien,experimental,238.331081,S,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gibson 2013,Acacia saligna,Chrysanthemoides monilifera,yes,no,2.8129288939,1.3260474135,NA,NA,30,natural,alien,observational,238.330997,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gibson 2013,Acacia saligna,Chrysanthemoides monilifera,yes,no,0.3645279074,0.3388700248,NA,NA,30,natural,alien,observational,238.330997,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gibson 2013,Acacia saligna,Chrysanthemoides monilifera,yes,no,1.505138889,0.4277267948,NA,NA,30,natural,alien,observational,238.330997,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gibson 2013,Acacia saligna,Cyphia volubilis,yes,no,0.9682949899,0.3723997995,NA,NA,30,natural,alien,observational,238.330887,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gibson 2013,Acacia saligna,Dimorphotheca pluvialis,yes,no,1.4582628373,0.8438775419,NA,NA,30,natural,alien,observational,238.330987,S,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gibson 2013,Acacia saligna,Erica imbricata,yes,no,-0.5634369571,0.34656088350000003,NA,NA,30,natural,alien,observational,238.330917,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gibson 2013,Acacia saligna,Erica parviflora,yes,no,1.8705837604,0.4791284835,NA,NA,30,natural,alien,observational,238.330917,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gibson 2013,Acacia saligna,Mimetes cucullatus,yes,no,0.9675979803,0.3723435771,NA,NA,30,natural,alien,observational,273.800821,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gibson 2013,Acacia saligna,Muratlia satureioides,yes,no,1.1045928416,0.3841718894,NA,NA,30,natural,alien,observational,144.09756,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gibson 2013,Acacia saligna,Muraltia satureioides,yes,no,1.1045928416,0.3841718894,NA,NA,30,natural,alien,observational,144.09756,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gibson 2013,Acacia saligna,Pelargonium betulinum,yes,no,0.2840088298,0.336694209,NA,NA,30,natural,alien,observational,235.068996,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gibson 2013,Acacia saligna,Polycarena lilacena,yes,no,0.9065471554,0.7351523121,NA,NA,30,natural,alien,observational,238.331002,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gibson 2013,Acacia saligna,Roepera fulva,yes,no,-0.2472019347,0.6717590664,NA,NA,30,natural,alien,observational,227.359566,D,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gibson 2013,Acacia saligna,Roepera fulva,yes,no,-1.2464343774,0.3980666107,NA,NA,30,natural,alien,observational,227.359566,D,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
