STUDY_ID,Short_Citation,First Author Last,Pub_Year,Country,Continent,OVERALL_Analysis,GERMINATION_Analysis,SURVIVAL_Analysis,GROWTH_Analysis,COVER_Analysis,LnRR_GERM,ESTVAR3_GERM,LnRR_SURVIVAL,ESTVAR3_SURVIVAL,LnRR_GROWTH,ESTVAR3_GROWTH,LnRR_COVER,ESTVAR3_COVER,LnRR_AVG,ESTVAR3_AVG,ESTVAR1,Soil reps (n),Control reps (n),Experimental location,BIOCRUST_TYPE,ECOSYSTEM_OF_ORIGIN,PLANT_FUNCTIONAL_GROUP,PLANT_NATIVENESS,PLANT_DURATION,PLANT_ROOT_MORPHOLOGY,SOIL_REFERENCE_STATE,STUDY_LOCATION,Plant_Species,Plant_Common_Name,Plant_Family,Plant_Lifeform,Lat_Y,Long_X,Aridity_Index,BIOCLIM_MAT,BIOCLIM_MAP
2344,Li et al. (2005),Li,2005,China,Asia,Yes,Yes,No,No,No,-3.7040867999999998E-2,5.2723747000000001E-2,NA,NA,NA,NA,NA,NA,-3.7040867999999998E-2,5.2723747000000001E-2,0.2,10,10,"Shapotou Desert Research and Experimental Station, Tengger Desert, China",Cyanobacteria,Semi-Arid,Non N-fixing Forb,Native,Annual,Tap,Biocrust removal,Greenhouse,Bassia dasyphylla,NA,Amaranthaceae,Forb,37.32,105.02,0.26,7.1,233
2344,Li et al. (2005),Li,2005,China,Asia,Yes,Yes,No,No,No,-1.187834244,0.33882637799999998,NA,NA,NA,NA,NA,NA,-1.187834244,0.33882637799999998,0.2,10,10,"Shapotou Desert Research and Experimental Station, Tengger Desert, China",Cyanobacteria,Semi-Arid,Non N-fixing Forb,Native,Annual,Tap,Biocrust removal,Greenhouse,Bassia dasyphylla,NA,Amaranthaceae,Forb,37.32,105.02,0.26,7.1,233
2054,Boeken et al. (2004),Boeken,2004,Israel,Asia,Yes,Yes,No,No,No,-1.4598781999999999E-2,2.8461403E-2,NA,NA,NA,NA,NA,NA,-1.4598781999999999E-2,2.8461403E-2,0.5,4,4,"Shaked Long-term Ecological Research Station, Negev Desert, Israel",Cyanobacteria,Arid,C3 Grass,Native,Annual,Fibrous,Filter paper,Greenhouse,Achnatherum capense,Cape ricegrass,Poaceae,Grass,31.17,34.369999999999997,0.152,19.7,187
2054,Boeken et al. (2004),Boeken,2004,Israel,Asia,Yes,Yes,No,No,No,4.0242442000000003E-2,1.4094183E-2,NA,NA,NA,NA,NA,NA,4.0242442000000003E-2,1.4094183E-2,0.5,4,4,"Shaked Long-term Ecological Research Station, Negev Desert, Israel",Cyanobacteria,Arid,C3 Grass,Native,Annual,Fibrous,Filter paper,Greenhouse,Achnatherum capense,Cape ricegrass,Poaceae,Grass,31.17,34.369999999999997,0.152,19.7,187
2054,Boeken et al. (2004),Boeken,2004,Israel,Asia,Yes,Yes,No,No,No,0.133229608,1.3514318000000001E-2,NA,NA,NA,NA,NA,NA,0.133229608,1.3514318000000001E-2,0.5,4,4,"Shaked Long-term Ecological Research Station, Negev Desert, Israel",Cyanobacteria,Arid,C3 Grass,Native,Annual,Fibrous,Filter paper,Greenhouse,Achnatherum capense,Cape ricegrass,Poaceae,Grass,31.17,34.369999999999997,0.152,19.7,187
2054,Boeken et al. (2004),Boeken,2004,Israel,Asia,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,0.46170822700000003,7.9807916000000007E-2,0.46170822700000003,7.9807916000000007E-2,2.1739129999999999E-2,92,92,"Shaked Long-term Ecological Research Station, Negev Desert, Israel",Cyanobacteria,Arid,C3 Grass,Native,Annual,Fibrous,Bare soil,Greenhouse,Achnatherum capense,Cape ricegrass,Poaceae,Grass,31.17,34.369999999999997,0.152,19.7,187
2054,Boeken et al. (2004),Boeken,2004,Israel,Asia,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,0.29829928900000002,5.7224797000000001E-2,0.29829928900000002,5.7224797000000001E-2,6.25E-2,32,32,"Shaked Long-term Ecological Research Station, Negev Desert, Israel",Cyanobacteria,Arid,C3 Grass,Native,Annual,Fibrous,Bare soil,Greenhouse,Achnatherum capense,Cape ricegrass,Poaceae,Grass,31.17,34.369999999999997,0.152,19.7,187
2054,Boeken et al. (2004),Boeken,2004,Israel,Asia,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,0.488352866,8.3265772000000002E-2,0.488352866,8.3265772000000002E-2,6.25E-2,32,32,"Shaked Long-term Ecological Research Station, Negev Desert, Israel",Cyanobacteria,Arid,C3 Grass,Native,Annual,Fibrous,Bare soil,Greenhouse,Achnatherum capense,Cape ricegrass,Poaceae,Grass,31.17,34.369999999999997,0.152,19.7,187
2054,Boeken et al. (2004),Boeken,2004,Israel,Asia,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,0.58604784399999998,8.5376270000000004E-2,0.58604784399999998,8.5376270000000004E-2,4.1666666999999998E-2,48,48,"Shaked Long-term Ecological Research Station, Negev Desert, Israel",Cyanobacteria,Arid,C3 Grass,Native,Annual,Fibrous,Bare soil,Greenhouse,Achnatherum capense,Cape ricegrass,Poaceae,Grass,31.17,34.369999999999997,0.152,19.7,187
2702,Tigre et al. (2012),Tigre,2012,Brazil,South America,Yes,No,No,Yes,No,NA,NA,NA,NA,-1.4457874000000001E-2,1.7690167999999999E-2,NA,NA,-1.4457874000000001E-2,1.7690167999999999E-2,0.5,4,4,Saloa-PE,Lichen,Semi-Arid,Non N-fixing Forb,Non-Native,Annual,Tap,Filter paper,Greenhouse,Lactuca sativa,garden lettuce,Asteraceae,Forb,-8.58,-36.409999999999997,0.45900000000000002,22,669
2702,Tigre et al. (2012),Tigre,2012,Brazil,South America,Yes,No,No,Yes,No,NA,NA,NA,NA,-0.206532515,3.1654821E-2,NA,NA,-0.206532515,3.1654821E-2,0.5,4,4,Saloa-PE,Lichen,Semi-Arid,Non N-fixing Forb,Non-Native,Annual,Tap,Filter paper,Greenhouse,Lactuca sativa,garden lettuce,Asteraceae,Forb,-8.58,-36.409999999999997,0.45900000000000002,22,669
2702,Tigre et al. (2012),Tigre,2012,Brazil,South America,Yes,No,No,Yes,No,NA,NA,NA,NA,-3.9028304E-2,1.3115457000000001E-2,NA,NA,-3.9028304E-2,1.3115457000000001E-2,0.5,4,4,Saloa-PE,Lichen,Semi-Arid,Non N-fixing Forb,Non-Native,Annual,Tap,Filter paper,Greenhouse,Lactuca sativa,garden lettuce,Asteraceae,Forb,-8.58,-36.409999999999997,0.45900000000000002,22,669
2702,Tigre et al. (2012),Tigre,2012,Brazil,South America,Yes,No,No,Yes,No,NA,NA,NA,NA,0.16299550199999999,1.0263796E-2,NA,NA,0.16299550199999999,1.0263796E-2,0.5,4,4,Saloa-PE,Lichen,Semi-Arid,Non N-fixing Forb,Non-Native,Annual,Tap,Filter paper,Greenhouse,Lactuca sativa,garden lettuce,Asteraceae,Forb,-8.58,-36.409999999999997,0.45900000000000002,22,669
2702,Tigre et al. (2012),Tigre,2012,Brazil,South America,Yes,No,No,Yes,No,NA,NA,NA,NA,-0.50604212299999995,1.8064561E-2,NA,NA,-0.50604212299999995,1.8064561E-2,0.5,4,4,Saloa-PE,Lichen,Semi-Arid,Non N-fixing Forb,Non-Native,Annual,Tap,Filter paper,Greenhouse,Lactuca sativa,garden lettuce,Asteraceae,Forb,-8.58,-36.409999999999997,0.45900000000000002,22,669
2702,Tigre et al. (2012),Tigre,2012,Brazil,South America,Yes,No,No,Yes,No,NA,NA,NA,NA,0.187092754,1.0169717E-2,NA,NA,0.187092754,1.0169717E-2,0.5,4,4,Saloa-PE,Lichen,Semi-Arid,Non N-fixing Forb,Non-Native,Annual,Tap,Filter paper,Greenhouse,Lactuca sativa,garden lettuce,Asteraceae,Forb,-8.58,-36.409999999999997,0.45900000000000002,22,669
2702,Tigre et al. (2012),Tigre,2012,Brazil,South America,Yes,No,No,Yes,No,NA,NA,NA,NA,0.16705263200000001,9.0674680000000004E-3,NA,NA,0.16705263200000001,9.0674680000000004E-3,0.5,4,4,Saloa-PE,Lichen,Semi-Arid,Non N-fixing Forb,Non-Native,Annual,Tap,Filter paper,Greenhouse,Lactuca sativa,garden lettuce,Asteraceae,Forb,-8.58,-36.409999999999997,0.45900000000000002,22,669
2702,Tigre et al. (2012),Tigre,2012,Brazil,South America,Yes,No,No,Yes,No,NA,NA,NA,NA,-0.160547141,1.2083066999999999E-2,NA,NA,-0.160547141,1.2083066999999999E-2,0.5,4,4,Saloa-PE,Lichen,Semi-Arid,Non N-fixing Forb,Non-Native,Annual,Tap,Filter paper,Greenhouse,Lactuca sativa,garden lettuce,Asteraceae,Forb,-8.58,-36.409999999999997,0.45900000000000002,22,669
2702,Tigre et al. (2012),Tigre,2012,Brazil,South America,Yes,No,No,Yes,No,NA,NA,NA,NA,0.20284128500000001,8.4016319999999992E-3,NA,NA,0.20284128500000001,8.4016319999999992E-3,0.5,4,4,Saloa-PE,Lichen,Semi-Arid,Non N-fixing Forb,Non-Native,Annual,Tap,Filter paper,Greenhouse,Lactuca sativa,garden lettuce,Asteraceae,Forb,-8.58,-36.409999999999997,0.45900000000000002,22,669
2702,Tigre et al. (2012),Tigre,2012,Brazil,South America,Yes,No,No,Yes,No,NA,NA,NA,NA,-0.183275519,1.1567197E-2,NA,NA,-0.183275519,1.1567197E-2,0.5,4,4,Saloa-PE,Lichen,Semi-Arid,Non N-fixing Forb,Non-Native,Annual,Tap,Filter paper,Greenhouse,Lactuca sativa,garden lettuce,Asteraceae,Forb,-8.58,-36.409999999999997,0.45900000000000002,22,669
2702,Tigre et al. (2012),Tigre,2012,Brazil,South America,Yes,No,No,Yes,No,NA,NA,NA,NA,0.20674024299999999,1.2140026999999999E-2,NA,NA,0.20674024299999999,1.2140026999999999E-2,0.5,4,4,Saloa-PE,Lichen,Semi-Arid,Non N-fixing Forb,Non-Native,Annual,Tap,Filter paper,Greenhouse,Lactuca sativa,garden lettuce,Asteraceae,Forb,-8.58,-36.409999999999997,0.45900000000000002,22,669
2702,Tigre et al. (2012),Tigre,2012,Brazil,South America,Yes,No,No,Yes,No,NA,NA,NA,NA,-0.27973457499999999,1.3111268000000001E-2,NA,NA,-0.27973457499999999,1.3111268000000001E-2,0.5,4,4,Saloa-PE,Lichen,Semi-Arid,Non N-fixing Forb,Non-Native,Annual,Tap,Filter paper,Greenhouse,Lactuca sativa,garden lettuce,Asteraceae,Forb,-8.58,-36.409999999999997,0.45900000000000002,22,669
2702,Tigre et al. (2012),Tigre,2012,Brazil,South America,Yes,No,No,Yes,No,NA,NA,NA,NA,1.4251819000000001E-2,8.8205809999999992E-3,NA,NA,1.4251819000000001E-2,8.8205809999999992E-3,0.5,4,4,Saloa-PE,Lichen,Semi-Arid,Non N-fixing Forb,Non-Native,Annual,Tap,Filter paper,Greenhouse,Lactuca sativa,garden lettuce,Asteraceae,Forb,-8.58,-36.409999999999997,0.45900000000000002,22,669
2702,Tigre et al. (2012),Tigre,2012,Brazil,South America,Yes,No,No,Yes,No,NA,NA,NA,NA,-0.49029488500000001,1.4367649999999999E-2,NA,NA,-0.49029488500000001,1.4367649999999999E-2,0.5,4,4,Saloa-PE,Lichen,Semi-Arid,Non N-fixing Forb,Non-Native,Annual,Tap,Filter paper,Greenhouse,Lactuca sativa,garden lettuce,Asteraceae,Forb,-8.58,-36.409999999999997,0.45900000000000002,22,669
2702,Tigre et al. (2012),Tigre,2012,Brazil,South America,Yes,No,No,Yes,No,NA,NA,NA,NA,-0.105890682,1.0555994000000001E-2,NA,NA,-0.105890682,1.0555994000000001E-2,0.5,4,4,Saloa-PE,Lichen,Semi-Arid,Non N-fixing Forb,Non-Native,Annual,Tap,Filter paper,Greenhouse,Lactuca sativa,garden lettuce,Asteraceae,Forb,-8.58,-36.409999999999997,0.45900000000000002,22,669
2485,Scott & Morgan (2012),Scott,2012,Australia,Australia,Yes,Yes,No,No,Yes,0.42819296899999998,0.67507929200000005,NA,NA,NA,NA,0.80276750900000005,0.48439103900000002,0.61548023900000004,0.57973516599999997,0.25,6,12,"Northern Victoria, Australia",Mixed,Semi-Arid,Community,Native,Annual,Community,Biocrust disturbance,Field,Community,Community,Community,Forb,-36.4,144.24,0.34499999999999997,15.3,439
2485,Scott & Morgan (2012),Scott,2012,Australia,Australia,Yes,Yes,No,No,Yes,1.5441949269999999,0.18814072200000001,NA,NA,NA,NA,2.2137566550000001,0.124520695,1.878975791,0.15633070900000001,0.16666666699999999,12,12,"Northern Victoria, Australia",Mixed,Semi-Arid,Community,Native,Annual,Community,Biocrust disturbance,Field,Community,Community,Community,Forb,-36.4,144.24,0.34499999999999997,15.3,439
2485,Scott & Morgan (2012),Scott,2012,Australia,Australia,Yes,Yes,No,No,Yes,0.85104774699999997,0.23245697700000001,NA,NA,NA,NA,1.1664347820000001,0.113311575,1.008741264,0.172884276,0.16666666699999999,12,12,"Northern Victoria, Australia",Mixed,Semi-Arid,Community,Native,Annual,Community,Biocrust disturbance,Field,Community,Community,Community,Forb,-36.4,144.24,0.34499999999999997,15.3,439
2485,Scott & Morgan (2012),Scott,2012,Australia,Australia,Yes,Yes,No,No,Yes,1.087435817,0.43342968300000001,NA,NA,NA,NA,1.495915919,0.13505499300000001,1.291675868,0.28424233799999998,0.25,6,12,"Northern Victoria, Australia",Mixed,Semi-Arid,Community,Native,Annual,Community,Biocrust disturbance,Field,Community,Community,Community,Forb,-36.4,144.24,0.34499999999999997,15.3,439
2485,Scott & Morgan (2012),Scott,2012,Australia,Australia,Yes,Yes,No,No,Yes,-0.37267186600000002,0.106579432,NA,NA,NA,NA,-0.76214239900000003,0.36652759200000001,-0.56740713200000004,0.23655351199999999,0.25,6,12,"Northern Victoria, Australia",Mixed,Semi-Arid,Community,Non-Native,Annual,Community,Biocrust disturbance,Field,Community,Community,Community,Forb,-36.4,144.24,0.34499999999999997,15.3,439
2485,Scott & Morgan (2012),Scott,2012,Australia,Australia,Yes,Yes,No,No,Yes,-0.89674062399999999,0.174784781,NA,NA,NA,NA,-0.99852866200000001,0.42625115899999999,-0.947634643,0.30051797000000002,0.16666666699999999,12,12,"Northern Victoria, Australia",Mixed,Semi-Arid,Community,Non-Native,Annual,Community,Biocrust disturbance,Field,Community,Community,Community,Forb,-36.4,144.24,0.34499999999999997,15.3,439
2485,Scott & Morgan (2012),Scott,2012,Australia,Australia,Yes,Yes,No,No,Yes,-0.62645330099999996,0.21045451100000001,NA,NA,NA,NA,-0.133531593,0.46715445999999999,-0.37999244700000001,0.33880448600000002,0.16666666699999999,12,12,"Northern Victoria, Australia",Mixed,Semi-Arid,Community,Non-Native,Annual,Community,Biocrust disturbance,Field,Community,Community,Community,Forb,-36.4,144.24,0.34499999999999997,15.3,439
2485,Scott & Morgan (2012),Scott,2012,Australia,Australia,Yes,Yes,No,No,Yes,-1.0986065899999999,0.122537223,NA,NA,NA,NA,-0.69314638100000003,0.372449319,-0.89587648499999994,0.24749327099999999,0.25,6,12,"Northern Victoria, Australia",Mixed,Semi-Arid,Community,Non-Native,Annual,Community,Biocrust disturbance,Field,Community,Community,Community,Forb,-36.4,144.24,0.34499999999999997,15.3,439
2668,Liu et al. (2013),Liu,2013,China,Asia,Yes,No,No,Yes,No,NA,NA,NA,NA,0.32926702200000002,7.3331120000000001E-3,NA,NA,0.32926702200000002,7.3331120000000001E-3,0.2,10,10,"The Gurbantunggut Desert, China",Mixed,Arid,Community,NA,NA,Community,Bare soil,Field,Community,Community,Community,NA,45.155000000000001,87.155000000000001,0.152,8.1,150
2668,Liu et al. (2013),Liu,2013,China,Asia,Yes,No,No,Yes,No,NA,NA,NA,NA,0.99170663999999997,9.8756532999999994E-2,NA,NA,0.99170663999999997,9.8756532999999994E-2,0.2,10,10,"The Gurbantunggut Desert, China",Mixed,Arid,Community,NA,NA,Community,Bare soil,Field,Community,Community,Community,Forb,45.155000000000001,87.155000000000001,0.152,8.1,150
2668,Liu et al. (2013),Liu,2013,China,Asia,Yes,No,No,Yes,No,NA,NA,NA,NA,0.46382652600000002,6.3959459999999996E-3,NA,NA,0.46382652600000002,6.3959459999999996E-3,0.2,10,10,"The Gurbantunggut Desert, China",Mixed,Arid,N-fixing Woody Plant,Native,Perennial,Tap,Bare soil,Field,Eremosparton songoricum,NA,Fabaceae,Shrub,45.155000000000001,87.155000000000001,0.152,8.1,150
2053,Boeken & Orenstein (2001),Boeken,2001,Israel,Asia,Yes,No,No,Yes,No,NA,NA,NA,NA,0.168820901,5.4208145999999999E-2,NA,NA,0.168820901,5.4208145999999999E-2,0.4,5,5,"Park Sayeret Shaked, Israel",Mixed,Arid,Community,NA,Annual,Community,Bare soil,Field,Community,Community,Community,NA,31.17,34.369999999999997,0.152,19.7,187
2053,Boeken & Orenstein (2001),Boeken,2001,Israel,Asia,Yes,No,No,Yes,No,NA,NA,NA,NA,0.75983626699999995,4.3266056999999997E-2,NA,NA,0.75983626699999995,4.3266056999999997E-2,0.4,5,5,"Park Sayeret Shaked, Israel",Mixed,Arid,Community,NA,Annual,Community,Bare soil,Field,Community,Community,Community,NA,31.17,34.369999999999997,0.152,19.7,187
2678,Prasse & Bornkamm (2000),Prasse,2000,Israel,Asia,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,0.45425217899999998,0.184397067,0.45425217899999998,0.184397067,0.25,8,8,"Nizzana research site of the Arid Ecosystems Research Centre (AERC), Israel",Cyanobacteria,Hyper Arid,Community,NA,NA,Community,Biocrust removal,Field,Community,Community,Community,NA,30.46,34.229999999999997,3.3000000000000002E-2,19.7,73
2678,Prasse & Bornkamm (2000),Prasse,2000,Israel,Asia,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,-0.223077531,0.72211311199999995,-0.223077531,0.72211311199999995,0.25,8,8,"Nizzana research site of the Arid Ecosystems Research Centre (AERC), Israel",Cyanobacteria,Hyper Arid,Community,NA,NA,Community,Biocrust removal,Field,Community,Community,Community,NA,30.46,34.229999999999997,3.3000000000000002E-2,19.7,73
2678,Prasse & Bornkamm (2000),Prasse,2000,Israel,Asia,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,-0.82097205900000003,0.19604972900000001,-0.82097205900000003,0.19604972900000001,0.25,8,8,"Nizzana research site of the Arid Ecosystems Research Centre (AERC), Israel",Cyanobacteria,Hyper Arid,Community,NA,NA,Community,Biocrust removal,Field,Community,Community,Community,NA,30.46,34.229999999999997,3.3000000000000002E-2,19.7,73
2678,Prasse & Bornkamm (2000),Prasse,2000,Israel,Asia,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,-0.223077531,0.22241095299999999,-0.223077531,0.22241095299999999,0.25,8,8,"Nizzana research site of the Arid Ecosystems Research Centre (AERC), Israel",Cyanobacteria,Hyper Arid,Community,NA,NA,Community,Biocrust removal,Field,Community,Community,Community,NA,30.46,34.229999999999997,3.3000000000000002E-2,19.7,73
2678,Prasse & Bornkamm (2000),Prasse,2000,Israel,Asia,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,0.303799451,0.19179623600000001,0.303799451,0.19179623600000001,0.25,8,8,"Nizzana research site of the Arid Ecosystems Research Centre (AERC), Israel",Cyanobacteria,Hyper Arid,Community,NA,NA,Community,Biocrust disturbance,Field,Community,Community,Community,NA,30.46,34.229999999999997,3.3000000000000002E-2,19.7,73
2678,Prasse & Bornkamm (2000),Prasse,2000,Israel,Asia,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,0.33639678000000001,0.24154848100000001,0.33639678000000001,0.24154848100000001,0.25,8,8,"Nizzana research site of the Arid Ecosystems Research Centre (AERC), Israel",Cyanobacteria,Hyper Arid,Community,NA,NA,Community,Biocrust disturbance,Field,Community,Community,Community,NA,30.46,34.229999999999997,3.3000000000000002E-2,19.7,73
2678,Prasse & Bornkamm (2000),Prasse,2000,Israel,Asia,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,-0.51082079199999997,0.19884190600000001,-0.51082079199999997,0.19884190600000001,0.25,8,8,"Nizzana research site of the Arid Ecosystems Research Centre (AERC), Israel",Cyanobacteria,Hyper Arid,Community,NA,NA,Community,Biocrust disturbance,Field,Community,Community,Community,NA,30.46,34.229999999999997,3.3000000000000002E-2,19.7,73
2678,Prasse & Bornkamm (2000),Prasse,2000,Israel,Asia,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,-0.223077531,0.40980328700000002,-0.223077531,0.40980328700000002,0.25,8,8,"Nizzana research site of the Arid Ecosystems Research Centre (AERC), Israel",Cyanobacteria,Hyper Arid,Community,NA,NA,Community,Biocrust disturbance,Field,Community,Community,Community,NA,30.46,34.229999999999997,3.3000000000000002E-2,19.7,73
2678,Prasse & Bornkamm (2000),Prasse,2000,Israel,Asia,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,2.0125182339999999,0.18315435599999999,2.0125182339999999,0.18315435599999999,0.25,8,8,"Nizzana research site of the Arid Ecosystems Research Centre (AERC), Israel",Cyanobacteria,Hyper Arid,Community,NA,NA,Community,Biocrust removal,Field,Community,Community,Community,NA,30.46,34.229999999999997,3.3000000000000002E-2,19.7,73
2678,Prasse & Bornkamm (2000),Prasse,2000,Israel,Asia,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,-0.93134017599999996,0.42838321699999998,-0.93134017599999996,0.42838321699999998,0.25,8,8,"Nizzana research site of the Arid Ecosystems Research Centre (AERC), Israel",Cyanobacteria,Hyper Arid,Community,NA,NA,Community,Biocrust removal,Field,Community,Community,Community,NA,30.46,34.229999999999997,3.3000000000000002E-2,19.7,73
2678,Prasse & Bornkamm (2000),Prasse,2000,Israel,Asia,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,1.3054646510000001,9.3396414999999997E-2,1.3054646510000001,9.3396414999999997E-2,0.25,8,8,"Nizzana research site of the Arid Ecosystems Research Centre (AERC), Israel",Cyanobacteria,Hyper Arid,Community,NA,NA,Community,Biocrust removal,Field,Community,Community,Community,NA,30.46,34.229999999999997,3.3000000000000002E-2,19.7,73
2678,Prasse & Bornkamm (2000),Prasse,2000,Israel,Asia,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,-3.0701787779999998,1.0075029069999999,-3.0701787779999998,1.0075029069999999,0.25,8,8,"Nizzana research site of the Arid Ecosystems Research Centre (AERC), Israel",Cyanobacteria,Hyper Arid,Community,NA,NA,Community,Biocrust removal,Field,Community,Community,Community,NA,30.46,34.229999999999997,3.3000000000000002E-2,19.7,73
2678,Prasse & Bornkamm (2000),Prasse,2000,Israel,Asia,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,2.4407602449999999,0.101154943,2.4407602449999999,0.101154943,0.25,8,8,"Nizzana research site of the Arid Ecosystems Research Centre (AERC), Israel",Cyanobacteria,Hyper Arid,Community,NA,NA,Community,Biocrust disturbance,Field,Community,Community,Community,NA,30.46,34.229999999999997,3.3000000000000002E-2,19.7,73
2678,Prasse & Bornkamm (2000),Prasse,2000,Israel,Asia,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,-0.153722887,0.62423604600000004,-0.153722887,0.62423604600000004,0.25,8,8,"Nizzana research site of the Arid Ecosystems Research Centre (AERC), Israel",Cyanobacteria,Hyper Arid,Community,NA,NA,Community,Biocrust disturbance,Field,Community,Community,Community,NA,30.46,34.229999999999997,3.3000000000000002E-2,19.7,73
2678,Prasse & Bornkamm (2000),Prasse,2000,Israel,Asia,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,1.7916811859999999,0.14862787899999999,1.7916811859999999,0.14862787899999999,0.25,8,8,"Nizzana research site of the Arid Ecosystems Research Centre (AERC), Israel",Cyanobacteria,Hyper Arid,Community,NA,NA,Community,Biocrust disturbance,Field,Community,Community,Community,NA,30.46,34.229999999999997,3.3000000000000002E-2,19.7,73
2678,Prasse & Bornkamm (2000),Prasse,2000,Israel,Asia,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,-9.6500200940000003,1.9999870999999999E-2,-9.6500200940000003,1.9999870999999999E-2,0.25,8,8,"Nizzana research site of the Arid Ecosystems Research Centre (AERC), Israel",Cyanobacteria,Hyper Arid,Community,NA,NA,Community,Biocrust disturbance,Field,Community,Community,Community,NA,30.46,34.229999999999997,3.3000000000000002E-2,19.7,73
2678,Prasse & Bornkamm (2000),Prasse,2000,Israel,Asia,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,3.07811828,0.41828699899999999,3.07811828,0.41828699899999999,0.25,8,8,"Nizzana research site of the Arid Ecosystems Research Centre (AERC), Israel",Cyanobacteria,Hyper Arid,Community,NA,NA,Community,Biocrust removal,Field,Community,Community,Community,NA,30.46,34.229999999999997,3.3000000000000002E-2,19.7,73
2678,Prasse & Bornkamm (2000),Prasse,2000,Israel,Asia,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,6.3660451,0.453144728,6.3660451,0.453144728,0.25,8,8,"Nizzana research site of the Arid Ecosystems Research Centre (AERC), Israel",Cyanobacteria,Hyper Arid,Community,NA,NA,Community,Biocrust removal,Field,Community,Community,Community,NA,30.46,34.229999999999997,3.3000000000000002E-2,19.7,73
2678,Prasse & Bornkamm (2000),Prasse,2000,Israel,Asia,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,3.31867884,0.33267337899999999,3.31867884,0.33267337899999999,0.25,8,8,"Nizzana research site of the Arid Ecosystems Research Centre (AERC), Israel",Cyanobacteria,Hyper Arid,Community,NA,NA,Community,Biocrust removal,Field,Community,Community,Community,NA,30.46,34.229999999999997,3.3000000000000002E-2,19.7,73
2678,Prasse & Bornkamm (2000),Prasse,2000,Israel,Asia,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,8.4439825089999996,0.45428186999999998,8.4439825089999996,0.45428186999999998,0.25,8,8,"Nizzana research site of the Arid Ecosystems Research Centre (AERC), Israel",Cyanobacteria,Hyper Arid,Community,NA,NA,Community,Biocrust removal,Field,Community,Community,Community,NA,30.46,34.229999999999997,3.3000000000000002E-2,19.7,73
2678,Prasse & Bornkamm (2000),Prasse,2000,Israel,Asia,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,3.0088301099999999,0.24539282400000001,3.0088301099999999,0.24539282400000001,0.25,8,8,"Nizzana research site of the Arid Ecosystems Research Centre (AERC), Israel",Cyanobacteria,Hyper Arid,Community,NA,NA,Community,Biocrust disturbance,Field,Community,Community,Community,NA,30.46,34.229999999999997,3.3000000000000002E-2,19.7,73
2678,Prasse & Bornkamm (2000),Prasse,2000,Israel,Asia,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,5.9614369470000002,1.0053810540000001,5.9614369470000002,1.0053810540000001,0.25,8,8,"Nizzana research site of the Arid Ecosystems Research Centre (AERC), Israel",Cyanobacteria,Hyper Arid,Community,NA,NA,Community,Biocrust disturbance,Field,Community,Community,Community,NA,30.46,34.229999999999997,3.3000000000000002E-2,19.7,73
2678,Prasse & Bornkamm (2000),Prasse,2000,Israel,Asia,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,2.196807255,0.57373208200000003,2.196807255,0.57373208200000003,0.25,8,8,"Nizzana research site of the Arid Ecosystems Research Centre (AERC), Israel",Cyanobacteria,Hyper Arid,Community,NA,NA,Community,Biocrust disturbance,Field,Community,Community,Community,NA,30.46,34.229999999999997,3.3000000000000002E-2,19.7,73
2678,Prasse & Bornkamm (2000),Prasse,2000,Israel,Asia,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,0,0.02,0,0.02,0.25,8,8,"Nizzana research site of the Arid Ecosystems Research Centre (AERC), Israel",Cyanobacteria,Hyper Arid,Community,NA,NA,Community,Biocrust disturbance,Field,Community,Community,Community,NA,30.46,34.229999999999997,3.3000000000000002E-2,19.7,73
